ID,Name,Price
3121,Samsung Galaxy J6 (Blue 64 GB),11990
3122,Samsung Galaxy A10 (Blue 32 GB),7990
3123,Samsung Guru 1200,1100
3124,Samsung Guru Music 2,1625
3125,Samsung Guru 1200,1100
3126,Samsung Galaxy A30 (Red 64 GB),15490
3127,Samsung Galaxy A20 (Red 32 GB),11490
3128,Samsung Guru Music 2,1625
3129,Samsung Guru 1200,1100
3130,Samsung Galaxy On Nxt (Gold 64 GB),10990
3131,Samsung Guru FM Plus SM-B110E/D,1375
3132,Samsung Guru Music 2,1625
3133,Samsung Guru 1200,1100
3134,Samsung Galaxy J6 (Gold 64 GB),11990
3135,Samsung Guru FM Plus SM-B110E/D,1375
3136,Samsung Galaxy On Nxt (Black 64 GB),10990
3137,Samsung Guru FM Plus,1375
3138,Samsung Galaxy A50 (Blue 64 GB),22990
3139,Samsung Metro 313 Dual Sim,2025
3140,Samsung B351E/Metro 350,2800
3141,Samsung Metro 313 Dual Sim,2025
3142,Samsung Galaxy On Max (Gold 32 GB),10990
3143,Samsung B351E/Metro 350,2800
3144,Samsung Galaxy On6 (Blue 64 GB),11990
3145,Samsung Galaxy J6 (Blue 64 GB),11990
3146,Samsung Galaxy A10 (Blue 32 GB),7990
3147,Samsung Guru 1200,1100
3148,Samsung Guru Music 2,1625
3149,Samsung Guru 1200,1100
3150,Samsung Galaxy A30 (Red 64 GB),15490
3151,Samsung Galaxy A20 (Red 32 GB),11490
3152,Samsung Guru Music 2,1625
3153,Samsung Guru 1200,1100
3154,Samsung Galaxy On Nxt (Gold 64 GB),10990
3155,Samsung Guru FM Plus SM-B110E/D,1375
3156,Samsung Guru Music 2,1625
3157,Samsung Guru 1200,1100
3158,Samsung Galaxy J6 (Gold 64 GB),11990
3159,Samsung Guru FM Plus SM-B110E/D,1375
3160,Samsung Galaxy On Nxt (Black 64 GB),10990
3161,Samsung Guru FM Plus,1375
3162,Samsung Galaxy A50 (Blue 64 GB),22990
3163,Samsung Metro 313 Dual Sim,2025
3164,Samsung B351E/Metro 350,2800
3165,Samsung Metro 313 Dual Sim,2025
3166,Samsung Galaxy On Max (Gold 32 GB),10990
3167,Samsung B351E/Metro 350,2800
3168,Samsung Galaxy On6 (Blue 64 GB),11990
3169,Samsung Galaxy J6 (Blue 64 GB),11990
3170,Samsung Galaxy A10 (Blue 32 GB),7990
3171,Samsung Guru 1200,1100
3172,Samsung Guru Music 2,1625
3173,Samsung Guru 1200,1100
3174,Samsung Galaxy A30 (Red 64 GB),15490
3175,Samsung Galaxy A20 (Red 32 GB),11490
3176,Samsung Guru Music 2,1625
3177,Samsung Guru 1200,1100
3178,Samsung Galaxy On Nxt (Gold 64 GB),10990
3179,Samsung Guru FM Plus SM-B110E/D,1375
3180,Samsung Guru Music 2,1625
3181,Samsung Guru 1200,1100
3182,Samsung Galaxy J6 (Gold 64 GB),11990
3183,Samsung Guru FM Plus SM-B110E/D,1375
3184,Samsung Galaxy On Nxt (Black 64 GB),10990
3185,Samsung Guru FM Plus,1375
3186,Samsung Galaxy A50 (Blue 64 GB),22990
3187,Samsung Metro 313 Dual Sim,2025
3188,Samsung B351E/Metro 350,2800
3189,Samsung Metro 313 Dual Sim,2025
3190,Samsung Galaxy On Max (Gold 32 GB),10990
3191,Samsung B351E/Metro 350,2800
